application_id,family_id,applicant_name,age,gender,state,district,village,tribe,community_category,is_scheduled_tribe,years_in_forest_area,caste_certificate,id_proofs,residence_proofs,dependence_proofs,gram_sabha_resolution,family_size,dependents,land_area_requested_acres,land_type,has_previous_claim,document_completeness,document_authenticity_score,eligibility_confidence_score,fraud_risk_score,application_date,application_status,gram_sabha_date,frc_recommendation,latitude,longitude,created_timestamp,last_updated
FRA-2025-000001,FAM-A4EF7BFF,Mahesh Singh,40,Male,Chhattisgarh,Rayagada,Village_95,Kondh,OTFD,False,119,False,Aadhaar|PAN,Electricity Bill,Old Ration Card|Gram Sabha Cert,True,4,0,0.83,Habitation,False,Complete,0.824,0.858,0.281,2025-04-15,Under Review,2025-05-18,Approved,22.585115,78.423257,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000002,FAM-3A2A56BC,Sunita Devi,30,Female,Madhya Pradesh,Koraput,Village_46,Santhal,ST,True,39,True,PAN|Aadhaar,Gram Sabha Cert,,True,2,1,2.11,Agricultural,False,Medical Certificate Alternative,0.632,0.647,0.251,2025-04-23,Under Review,2025-05-10,Approved with Conditions,24.881772,85.11913,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000003,FAM-AB7C3276,Geeta Singh,54,Female,Andhra Pradesh,Kandhamal,Village_21,Santhal,OTFD,False,98,False,Voter ID|PAN,Electricity Bill,Gram Sabha Cert|Old Ration Card,True,4,0,2.63,Habitation,False,Partial,0.665,0.69,0.396,2025-09-08,Pending - Gram Sabha,2025-10-14,Approved,23.574421,84.465595,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000004,FAM-3DBDA5A6,Suresh Prasad,61,Male,Andhra Pradesh,Kandhamal,Village_28,Munda,ST,True,26,True,Ration Card|Aadhaar,Electricity Bill,,True,8,0,0.99,Water Bodies,False,Medical Certificate Alternative,0.959,0.7,0.088,2025-09-16,Approved,2025-10-03,Approved,18.222731,76.079766,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000005,FAM-BEB91F76,Ramesh Yadav,49,Male,Maharashtra,Bastar,Village_68,Santhal,OTFD,False,111,False,Aadhaar|PAN,Gram Sabha Cert,Old Ration Card|Land Record,True,3,4,3.13,Community Forest Resource,False,Medical Certificate Alternative,0.663,0.502,0.289,2025-05-17,Pending - Gram Sabha,2025-06-25,Approved,23.964149,77.879782,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000006,FAM-E247E70D,Suresh Prasad,48,Male,Chhattisgarh,Dantewada,Village_100,Ho,OTFD,False,76,False,PAN|Voter ID,Ration Card,Old Ration Card|Medical Record,True,8,1,3.58,Community Forest Resource,False,Partial,0.951,0.973,0.034,2025-02-25,Under Review,2025-03-29,Approved,22.278007,86.309033,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000007,FAM-B7E8861C,Anita Kumari,59,Female,Andhra Pradesh,Rayagada,Village_92,Santhal,ST,True,26,True,PAN|Voter ID,Gram Sabha Cert,,True,2,1,2.08,Habitation,False,Community Testimony,0.608,0.777,0.235,2025-02-23,Approved,2025-03-30,Approved,24.24336,85.17526,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000008,FAM-CAD3DE13,Mahesh Singh,67,Male,Madhya Pradesh,Rayagada,Village_70,Gond,ST,True,47,True,Ration Card|Aadhaar,Electricity Bill,,True,7,0,3.33,Habitation,True,Medical Certificate Alternative,0.742,0.706,0.346,2025-01-22,Rejected - Multiple Claims,2025-02-26,Approved,20.22097,78.410934,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000009,FAM-55FB0027,Suresh Prasad,37,Male,Maharashtra,Bastar,Village_18,Munda,OTFD,False,87,False,PAN|Voter ID,Ration Card,Old Ration Card|Voter List,True,5,1,3.33,Water Bodies,True,Complete,0.988,0.963,0.339,2025-03-14,Rejected - Multiple Claims,2025-04-13,Approved with Conditions,24.219543,76.140283,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000010,FAM-33C96DB7,Geeta Singh,54,Female,Jharkhand,Bastar,Village_90,Ho,ST,True,43,True,Ration Card|Aadhaar,Ration Card,,True,6,0,1.54,Agricultural,False,Complete,0.899,0.529,0.234,2025-09-06,Pending - Gram Sabha,2025-09-22,Approved,17.548171,74.883491,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000011,FAM-8BE848E0,Sunita Devi,61,Female,Chhattisgarh,Dantewada,Village_77,Kondh,OTFD,False,115,False,Aadhaar|Voter ID,Gram Sabha Cert,Land Record|Gram Sabha Cert,True,8,0,2.33,Community Forest Resource,False,Community Testimony,0.695,0.698,0.269,2025-08-11,Under Review,2025-09-24,Approved,20.666284,86.979908,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000012,FAM-E69A756B,Rakesh Sharma,38,Male,Maharashtra,Kandhamal,Village_17,Santhal,OTFD,False,80,False,Voter ID|Ration Card,Electricity Bill,School Cert|Voter List,True,2,4,3.42,Community Forest Resource,False,Complete,0.867,0.777,0.373,2025-03-09,Approved,2025-03-27,Approved,19.178786,81.862788,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000013,FAM-785DEA07,Mahesh Singh,57,Male,Madhya Pradesh,Kandhamal,Village_7,Kondh,OTFD,False,116,False,Ration Card|Voter ID,Ration Card,Old Ration Card|Medical Record,True,8,2,3.2,Community Forest Resource,False,Medical Certificate Alternative,0.821,0.714,0.004,2025-03-18,Approved,2025-04-03,Rejected,21.420201,79.587227,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000014,FAM-76982DA8,Sunita Devi,47,Female,Chhattisgarh,Rayagada,Village_86,Kondh,ST,True,23,True,Ration Card|PAN,Gram Sabha Cert,,True,8,1,1.04,Habitation,False,Partial,0.953,0.512,0.295,2025-07-26,Under Review,2025-08-31,Approved with Conditions,18.273583,83.116616,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000015,FAM-3E6A9828,Ramesh Yadav,39,Male,Chhattisgarh,Bastar,Village_45,Santhal,ST,True,15,True,Voter ID|Aadhaar,Gram Sabha Cert,,True,2,0,1.18,Community Forest Resource,False,Complete,0.987,0.64,0.257,2025-09-11,Under Review,2025-10-26,Approved with Conditions,18.428543,86.512946,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000016,FAM-063D324A,Rakesh Sharma,52,Male,Jharkhand,Kandhamal,Village_56,Ho,ST,True,33,True,Aadhaar|Voter ID,Gram Sabha Cert,,True,2,2,1.17,Agricultural,False,Complete,0.808,0.903,0.275,2025-04-12,Pending - Gram Sabha,2025-05-10,Rejected,19.511325,85.024199,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000017,FAM-4378415D,Rita Gupta,44,Female,Andhra Pradesh,Bastar,Village_42,Munda,OTFD,False,120,False,PAN|Ration Card,Ration Card,School Cert|Voter List,True,5,4,2.83,Grazing,False,Partial,0.846,0.65,0.219,2025-05-10,Approved,2025-05-31,Rejected,22.237645,80.044846,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000018,FAM-2F5D1806,Rakesh Sharma,55,Male,Andhra Pradesh,Rayagada,Village_85,Kondh,ST,True,19,True,PAN|Aadhaar,Ration Card,,True,7,4,2.85,Habitation,False,Partial,0.61,0.622,0.19,2025-08-14,Approved,2025-09-26,Approved,22.746767,78.99172,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000019,FAM-1DE4B8F0,Raman Kumar,31,Male,Madhya Pradesh,Rayagada,Village_23,Ho,ST,True,30,True,Aadhaar|PAN,Ration Card,,True,6,3,3.71,Agricultural,False,Medical Certificate Alternative,0.867,0.994,0.238,2025-09-14,Under Review,2025-10-25,Approved,22.949244,80.170768,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000020,FAM-91A1AAC4,Mahesh Singh,58,Male,Madhya Pradesh,Rayagada,Village_36,Munda,ST,True,5,True,PAN|Aadhaar,Electricity Bill,,True,4,4,1.68,Water Bodies,True,Partial,0.693,0.847,0.283,2025-02-14,Rejected - Multiple Claims,2025-03-14,Approved with Conditions,20.326194,76.688847,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000021,FAM-BAAC661C,Rakesh Sharma,49,Male,Madhya Pradesh,Koraput,Village_46,Santhal,ST,True,49,True,Ration Card|Voter ID,Gram Sabha Cert,,True,8,3,3.12,Water Bodies,False,Partial,0.795,0.636,0.194,2025-06-22,Under Review,2025-07-28,Rejected,18.320358,80.076072,2025-09-06 06:35:24,2025-09-06 06:35:24
