application_id,family_id,applicant_name,age,gender,state,district,village,tribe,community_category,years_in_forest_area,caste_certificate,aadhaar_id,land_area_requested_acres,land_type,claim_type,document_authenticity_score,eligibility_confidence_score,fraud_risk_score,has_previous_claim,application_date,application_status,gram_sabha_date
FRA-2025-000001,FAM-BAF70DFC,Mahesh Singh,40,Male,Madhya Pradesh,Rayagada,Sitapurpada97,Gond,OTFD,119,False,2914-3575-9655,0.61,Agricultural,Individual Forest Right,0.802,0.513,0.08,False,2025-07-08,Pending - Gram Sabha,2025-08-06
FRA-2025-000002,FAM-3F8348D2,Suresh Prasad,69,Male,Tripura,Kandhamal,Sitapurnagar86,Santhal,ST,14,True,8970-4540-3969,1.83,Community Forest Resource,Community Forest Right,0.841,0.904,0.292,False,2025-02-18,Under Review,2025-03-14
FRA-2025-000005,FAM-CA76EB7C,Geeta Singh,29,Female,Madhya Pradesh,Dantewada,Sundarpurgaon77,Oraon,OTFD,89,False,2672-2340-2295,1.0,Habitation,Individual Forest Right,0.825,0.631,0.234,False,2025-06-08,Under Review,2025-06-27
FRA-2025-000008,FAM-D35E6521,Rakesh Sharma,58,Male,Odisha,Dantewada,Haridaspurnagar25,Warli,ST,2,True,4523-8346-7406,1.34,Habitation,Other Traditional Rights,0.979,0.543,0.194,True,2025-09-25,Rejected - Multiple Claims,2025-10-14
FRA-2025-000010,FAM-67356318,Rakesh Sharma,60,Male,Madhya Pradesh,Dantewada,Rampurnagar140,Kondh,ST,5,True,9595-1433-1668,3.67,Community Forest Resource,Individual Forest Right,0.695,0.834,0.086,False,2025-08-08,Pending - Gram Sabha,2025-09-17
FRA-2025-000014,FAM-882B91D4,Rakesh Sharma,59,Male,Odisha,Ranchi,Narsinghpurpalli42,Kondh,ST,4,True,5268-1161-8084,1.05,Water Bodies,Individual Forest Right,0.674,0.798,0.27,False,2025-04-19,Approved,2025-05-23
FRA-2025-000021,FAM-BB7DB240,Raman Kumar,67,Male,Madhya Pradesh,Bastar,Sundarpurgaon87,Ho,OTFD,80,False,5282-1769-5809,1.9,Water Bodies,Individual Forest Right,0.611,0.939,0.104,False,2025-01-04,Under Review,2025-02-07
FRA-2025-000024,FAM-48605CDE,Mahesh Singh,43,Male,Madhya Pradesh,Bastar,Lakshmipurpalli101,Oraon,ST,30,True,5265-2313-6037,2.29,Habitation,Individual Forest Right,0.714,0.832,0.248,True,2025-04-22,Rejected - Multiple Claims,2025-05-16
FRA-2025-000025,FAM-6903EACA,Suresh Prasad,26,Male,Odisha,Rayagada,Nandigramgaon25,Gond,ST,30,True,1317-6874-2510,2.23,Habitation,Individual Forest Right,0.875,0.946,0.344,False,2025-04-06,Under Review,2025-05-16
FRA-2025-000026,FAM-E5E5155E,Sunita Devi,60,Female,Madhya Pradesh,Khunti,Haridaspurpalli65,Warli,OTFD,84,False,6673-8293-9025,3.83,Grazing,Individual Forest Right,0.888,0.752,0.332,False,2025-08-15,Approved,2025-09-07
FRA-2025-000027,FAM-1EB917DA,Rita Gupta,56,Female,Madhya Pradesh,Kandhamal,Rajpurtola106,Gond,OTFD,94,False,1686-2359-8817,1.62,Water Bodies,Individual Forest Right,0.66,0.692,0.061,False,2025-07-11,Under Review,2025-08-12
FRA-2025-000028,FAM-3B877626,Suresh Prasad,51,Male,Tripura,Khunti,Narsinghpurbasti129,Kondh,ST,49,True,3815-8912-2378,3.8,Community Forest Resource,Community Forest Right,0.941,0.977,0.168,False,2025-04-16,Pending - Gram Sabha,2025-05-08
FRA-2025-000031,FAM-F131CB7B,Raman Kumar,26,Male,Madhya Pradesh,Rayagada,Bhagwanpurtola82,Santhal,ST,16,True,2823-2367-9027,2.47,Habitation,Individual Forest Right,0.702,0.684,0.242,False,2025-02-25,Pending - Gram Sabha,2025-04-07
