application_id,family_id,aadhaar_id,applicant_name,age,gender,state,district,village,tribe,community_category,is_scheduled_tribe,family_size,dependents,land_area_requested_acres,land_type,has_previous_claim,has_aadhaar,has_community_proof,has_tribal_proof,has_medical_certificate,document_completeness,years_in_forest_area,occupation,annual_income,application_date,application_status,document_authenticity_score,eligibility_confidence_score,fraud_risk_score,gram_sabha_date,frc_recommendation,latitude,longitude,created_timestamp,last_updated
FRA-2025-000001,FAM-E7D815F4,2824-1409-5506,Applicant_1,40,Male,Jharkhand,Rayagada,Village_87,Dongria Kondh,ST,True,6,3,0.61,Agricultural,False,True,False,False,False,Complete,37,Forest Produce Collection,113850,2025-09-14,Pending - Community Verification,0.688,0.795,0.324,,,17.05199,84.47565,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000002,FAM-5C6EDD99,7924-6574-5552,Applicant_2,34,Male,Andhra Pradesh,Rayagada,Village_12,Bhil,ST,True,8,5,2.61,Agricultural,True,True,True,True,False,Medical Certificate Alternative,46,Small Business,101070,2025-06-19,Rejected - Multiple Claims,0.677,0.535,0.265,,,23.184547,86.80788,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000003,FAM-6F503EEF,4814-2654-7227,Applicant_3,42,Female,Andhra Pradesh,Kandhamal,Village_48,Oraon,OTFD,False,7,5,2.77,Water Bodies,False,True,True,False,False,Community Testimony,32,Livestock Rearing,149698,2025-09-08,Pending - Gram Sabha,0.937,0.888,0.092,,,17.256802,78.10089,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000004,FAM-8C17E435,,Applicant_4,61,Female,Madhya Pradesh,Nandurbar,Village_64,Bhil,OTFD,False,3,1,0.99,Water Bodies,False,False,False,False,False,Medical Certificate Alternative,27,Forest Produce Collection,86784,2025-08-03,Pending - Document Verification,0.902,0.931,0.061,,,18.279856,82.846256,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000005,FAM-34AE9758,2040-7304-7252,Applicant_5,63,Female,Gujarat,Dantewada,Village_71,Kondh,ST,True,7,4,3.13,Community Forest Resource,False,True,True,True,False,Community Testimony,20,Small Business,134799,2025-05-17,Under Review,0.803,0.553,0.25,2025-06-27,Rejected,21.061303,76.585844,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000006,FAM-78C980D2,7126-3646-9837,Applicant_6,58,Male,Rajasthan,Ranchi,Village_63,Kondh,ST,True,4,2,1.34,Habitation,False,True,False,True,False,Complete,44,Daily Labor,120379,2025-03-05,Pending - SDLC,0.979,0.583,0.211,,,21.852751,86.536718,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000007,FAM-DC07AB24,9835-4295-6107,Applicant_7,50,Female,West Bengal,Dindori,Village_58,Gond,ST,True,4,0,2.56,Habitation,False,True,True,False,False,Complete,27,Farming,138675,2025-01-28,Pending - Gram Sabha,0.628,0.619,0.268,,,18.713894,75.720054,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000008,FAM-AAE47627,,Applicant_8,51,Male,Chhattisgarh,Rayagada,Village_85,Bhil,OTFD,False,5,0,2.86,Agricultural,False,False,False,False,False,Complete,27,Forest Produce Collection,44931,2025-09-15,Pending - Document Verification,0.656,0.592,0.185,,,23.995888,74.980004,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000009,FAM-C7A99F6D,,Applicant_9,25,Male,Madhya Pradesh,Kandhamal,Village_53,Warli,OTFD,False,2,0,1.83,Grazing,False,False,True,False,False,Community Testimony,24,Forest Produce Collection,58890,2025-04-02,Pending - Document Verification,0.832,0.771,0.299,,,17.457322,81.594309,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000010,FAM-9B68B3D0,9238-9701-3579,Applicant_10,28,Male,Jharkhand,Rayagada,Village_77,Gond,ST,True,5,0,3.8,Water Bodies,False,True,False,True,False,Community Testimony,41,Daily Labor,94085,2025-09-11,Pending - Gram Sabha,0.682,0.858,0.095,,,20.166287,82.731973,2025-09-06 05:09:25,2025-09-06 05:09:25
